Make,Model,Year,Engine,Seating,Price
Suzuki,Wagon R  VXL,2019,1000,5,17.8
Suzuki,APV  GLX (CNG),2005,1500,8,12.5
Toyota,Corolla  GLi 1.3 VVTi,2011,1300,5,18.9
Toyota,Corolla  Altis Grande CVT-i 1.8,2018,1800,5,42.1
Honda,Grace Hybrid 6th Generation EX,2016,1500,6,37
Honda,Civic  EXi,2004,1500,5,12.75
Mitsubishi,Pajero  Exceed 3.5,1998,3500,7,13.65
Suzuki,Mehran  VXR Euro II,2019,796,4,13.25
Honda,Civic  VTi 1.6,2004,1600,6,13
Changan,Alsvin  1.5L DCT Lumiere,2021,1500,5,35.5
MG,HS  1.5 Turbo,2021,1500,5,
Honda,Civic Rebirth VTi Oriel Prosmatec 1.8 i-VTEC,2015,1800,5,32.5
Toyota,Corolla  Altis Cruisetronic 1.6,2013,1600,5,27.35
Suzuki,Alto  L,2016,660,4,16.5
Toyota,Aqua  S,2014,1500,5,31.2
Toyota,Hilux  4x4 Double Cab 3.0 L,2005,3000,5,21
Suzuki,Cultus  VXR,2006,1000,5,6.5
Honda,Civic Rebirth VTi Prosmatec 1.8 i-VTEC,2015,1800,5,26.95
Suzuki,Kei  B Turbo,2007,660,4,10.8
Chevrolet,Optra  1.6 Automatic,2005,1600,6,10.5
Suzuki,Alto  VXL AGS,2022,660,4,24.5
Changan,Karvaan  Base Model 1.0,2021,1000,8,19.25
Mazda,Carol  GS,2012,660,4,16.3
Honda,Civic  Oriel 1.8 i-VTEC CVT,2016,1800,5,40.5
Toyota,Corolla  Altis Grande CVT-i 1.8,2015,1800,5,34
Toyota,Aqua  S,2017,1500,5,36.75
Honda,BR-V  i-VTEC S,2018,1500,7,37.8
Honda,Civic  1.5 RS Turbo,2021,1500,5,67
Honda,Civic  1.5 RS Turbo,2022,1500,5,82.5
Toyota,Prado 120 Series TX Limited 2.7,2007,2700,7,69
Mercedes,Benz E Class 3rd (W211) Generation E200,2003,1800,5,30.5
Suzuki,Cultus  EURO II,2012,1000,5,12.7
Honda,City  EXi S Automatic,2000,1500,5,10.5
Toyota,Corolla  Altis Grande 1.8,2014,1800,5,33
Honda,City 5th Generation 1.5 i-VTEC,2017,1500,5,29.5
JAC,T6  ,2016,2800,6,30
Toyota,Passo  G 1.0,2004,1000,5,16.25
Daihatsu,Mira  X Special,2006,660,4,14.25
Mazda,Flair  ,2018,660,4,27
Toyota,Voxy  2.0 CVT,2016,2000,7,
Prince,Pearl  MT,2021,800,5,13.3
Toyota,Corolla  GLi Automatic 1.6 VVTi,2013,1600,5,28.5
Honda,City 5th Generation Aspire Prosmatec 1.5 i-VTEC,2018,1500,5,29.5
Mercedes,Benz E Class 4th (W212) Generation E200,2012,2000,5,82
Toyota,Corolla  GLi 1.3 VVTi,2014,1300,5,20.5
Toyota,Prius  G 1.8,2010,1800,5,25
Honda,City  1.2L CVT,2022,1200,5,
Toyota,Corolla  Altis SR Cruisetronic 1.6,2012,1600,5,25.8
Honda,Civic  VTi 1.8 i-VTEC,2012,1800,5,21.21
Toyota,Prado 120 Series TX Limited 2.7,2004,2700,7,70
Toyota,Corolla  Altis Grande CVT-i 1.8,2017,1800,5,37.8
DFSK,Glory 580  Pro,2021,1500,7,52.5
Suzuki,Wagon R  FX,2015,660,5,18.9
Suzuki,Mehran  VXR (CNG),2005,800,4,6.5
Honda,Civic  1.5 RS Turbo,2020,1500,5,56
Toyota,Corolla 9th Generation XLi,2007,1300,5,18.75
Toyota,Premio  X 1.8,2010,1800,5,46.5
KIA,Picanto  1.0 MT,2022,1000,5,26.25
Suzuki,Wagon R  VXL,2019,1000,5,19
Suzuki,Alto  VXR AGS,2022,660,4,
Toyota,Yaris  ATIV X CVT 1.5,2022,1500,5,41
Toyota,Vitz  F 1.0,2012,1000,5,
Toyota,Fortuner  2.8 Sigma 4,2021,2800,7,
MG,HS  1.5 Turbo,2021,1500,5,66.5
Honda,Civic  Oriel 1.8 i-VTEC CVT,2019,1800,5,45
KIA,Sportage  AWD,2020,2000,5,65
Toyota,Hilux  Tiger,2001,3000,5,26.5
Toyota,Corolla  GLi 1.3 VVTi,2017,1300,5,27.5
Toyota,Vitz  F 1.0,2018,1000,5,33.5
Honda,Civic Rebirth Oriel Prosmatec UG,2013,1800,5,27.95
Honda,Civic Rebirth VTi 1.8 i-VTEC,2015,1800,5,26.5
Suzuki,Mehran  VX Euro II,2015,796,4,9
Toyota,Surf  SSR-G 2.7,2003,2700,7,62
Toyota,Passo  + Hana 1.0,2011,1000,5,21.5
Honda,Civic  Oriel 1.8 i-VTEC CVT,2017,1800,5,39.7
Honda,Civic  EXi,2006,1500,5,13
Toyota,Corolla 9th Generation XLi,2006,1300,5,15
Mercedes,Benz C Class  C200,2007,1800,5,34.5
Suzuki,Alto  VXR,2011,1000,4,12
Toyota,Corolla  Altis Grande X CVT-i 1.8 Black Interior,2022,1800,5,
Honda,Civic  1.5 VTEC Turbo Oriel,2022,1500,5,
Toyota,Hilux  Revo Rocco,2022,2800,5,
Suzuki,Cultus  VXR,2005,1000,5,6
Toyota,Prado 90 Series TZ 3.0D,1996,3000,7,52
Toyota,Passo  X G Package,2015,1000,5,24.25
Honda,City 5th Generation Aspire Prosmatec 1.5 i-VTEC,2014,1500,5,25
Suzuki,Swift  DLX 1.3,2013,1300,5,17.9
Honda,City  1.3 i-VTEC,2009,1300,5,19.95
Nissan,Note  1.2E,2020,1198,5,45
Honda,Civic  VTi Oriel Prosmatec 1.8 i-VTEC,2012,1800,5,24.9
KIA,Picanto  1.0 AT,2022,1000,5,28.5
KIA,Picanto  1.0 MT,2022,1000,5,27.5
KIA,Sportage  FWD,2022,2000,5,64
Peugeot,2008  Allure,2022,1200,5,62
Lexus,RX Series  450h,2010,3500,5,89
Toyota,Corolla  Altis Automatic 1.6,2019,1600,5,39.3
MG,HS  1.5 Turbo,2021,1500,5,66
Changan,Alsvin  1.5L DCT Lumiere,2022,1500,5,
Honda,City 5th Generation Aspire Prosmatec 1.3 i-VTEC,2016,1300,5,28.5
Honda,Civic  Oriel 1.8 i-VTEC CVT,2017,1800,5,42.5
Audi,A4 4th (B8) Generation 1.8 TFSI,2012,1800,7,52.5
Honda,Vezel  Hybrid Z Sensing ,2016,1500,5,
Nissan,Note  E,2019,1300,5,
Toyota,Aqua  S,2018,1500,5,
Nissan,Kix  ,2021,1200,4,76
Honda,Vezel  Hybrid X Sensing,2016,1500,5,
Toyota,C-HR  ,2018,1800,5,
Mercedes,Benz E Class 4th (W212) Generation E300,2014,3500,5,
Toyota,Raize  ,2020,1000,5,
Toyota,Corolla  XLi VVTi,2013,1300,5,18.8
Suzuki,Alto  VXR,2022,660,4,22.2
Toyota,Corolla  XLi VVTi,2010,1300,5,17.25
MG,HS  1.5 Turbo,2021,1500,5,63
Honda,City 5th Generation Aspire 1.3 i-VTEC,2012,1300,5,19.5
Toyota,Corolla  Altis Automatic 1.6,2018,1600,5,35.25
Toyota,Corolla  Altis Automatic 1.6,2015,1600,5,28.5
Suzuki,Cultus  VXR (CNG),2006,1000,5,7.3
Mercedes,Benz E Class 4th (W212) Generation E200,2012,2000,5,86
Suzuki,Alto  GII,2009,660,4,14.25
Jeep,CJ 5  ,1967,1800,4,10.5
Suzuki,Mehran  VXR Euro II,2015,796,4,10.75
Suzuki,Alto  VXR,2007,1000,4,8
Toyota,Prius  G 1.8,2012,1800,5,37.3
Suzuki,Swift  DLX 1.3,2012,1300,5,14
Honda,Vezel  Hybrid Z,2014,1500,5,40
Honda,Vezel  Hybrid X Sensing,2017,1500,5,57
Honda,City  1.2L CVT,2022,1200,5,38.6
Toyota,Corolla  Altis Grande X CVT-i 1.8 Beige Interior,2022,1800,5,59.5
Daihatsu,Taft  ,2021,660,4,41.75
Toyota,Corolla  Altis Grande X CVT-i 1.8 Beige Interior,2022,1800,5,59.5
Honda,Civic  Oriel 1.8 i-VTEC CVT,2017,1800,5,39.9
KIA,Stonic  EX+,2022,1400,5,48
Toyota,Corolla  Altis X Automatic 1.6 Special Edition,2022,1600,5,52.75
Mitsubishi,Pajero  GLS 2.8D,2006,2800,7,40
Toyota,Corolla  GLi 1.6,2001,1600,5,9.95
Honda,Vezel  Hybrid Z Sensing ,2014,1500,5,53
Suzuki,Cultus  VXRi,2009,1000,5,9.8
Suzuki,APV  GLX,2013,1600,8,27.95
Honda,City 5th Generation Aspire 1.5 i-VTEC,2017,1500,5,27.5
Toyota,Aqua  S,2017,1500,5,38
Honda,Vezel  Hybrid Z Sensing ,2014,1500,5,45
Toyota,Corolla Axio  Hybrid 1.5,2018,1500,5,51
Toyota,Corolla Indus GL,1997,1300,5,10.8
Toyota,Corolla  Altis X 1.8,2022,1800,5,47
Honda,Civic  VTi Oriel UG 1.6,2004,1600,6,13.75
Toyota,Passo  X 1.3,2007,1300,5,17.5
Toyota,Corolla  GLi 1.3 VVTi,2011,1300,5,19
Hyundai,Santro  Club,2004,1000,5,8.5
Toyota,Vitz  F 1.0,2003,1000,5,15
Suzuki,Alto  VXR,2022,660,4,20.7
Honda,Civic  Oriel 1.8 i-VTEC CVT,2017,1800,5,40.3
Changan,Oshan X7  FutureSense,2022,1500,,75.5
Suzuki,Alto  VXR,2021,660,4,21
Toyota,Corolla  GLi 1.3 VVTi,2010,1300,5,23
Honda,City 5th Generation 1.3 i-VTEC,2015,1300,5,22.75
Nissan,Clipper  G,2017,660,4,21
Suzuki,Alto  VXL AGS,2022,660,4,24.9
Toyota,Vitz  F 1.0,2015,1000,5,18.75
Toyota,Prius  S LED Edition 1.8,2014,1800,5,43
Toyota,Pixis Epoch  G,2019,660,4,32.5
Honda,City  EXi,2001,1300,5,8.6
Suzuki,Cultus  Auto Gear Shift,2021,1000,5,31.5
Honda,Vezel  Hybrid RS Sensing ,2016,1500,5,47
MG,HS  1.5 Turbo,2021,1500,5,69
DFSK,Glory 580  Pro,2021,1500,7,50
DFSK,Glory 580  Pro,2021,1500,7,54
Toyota,Hilux  Revo V Automatic 3.0 ,2020,3000,5,94.5
Toyota,Corolla  GLi 1.3 VVTi,2009,1300,5,17.85
Toyota,Corolla Fielder  G,2017,1500,5,50
MG,HS  1.5 Turbo,2021,1500,5,62.5
Honda,Civic  Oriel Prosmatec UG,2016,1800,5,29
Toyota,Surf  SSR-G 3.0D,1994,3000,7,22
Toyota,Corolla Axio  Hybrid 1.5,2015,1500,5,46
Suzuki,Alto  VXR,2020,660,4,20.5
Daewoo,Racer  1.5 GTi,2001,1500,5,4.5
Toyota,Corolla 9th Generation XLi,2006,1300,5,17
Honda,City 5th Generation 1.3 i-VTEC,2010,1300,5,21.8
Toyota,Yaris  GLI MT 1.3,2020,1300,5,33
Suzuki,Wagon R  VXL,2017,1000,5,18
Toyota,Corolla  GLi 1.3 VVTi,2015,1300,5,23
Hyundai,Elantra  GLS,2021,2000,5,55
Suzuki,Mehran  VX,2012,800,4,7.7
Honda,Civic  VTi 1.6,2001,1600,6,12
Honda,City  i-DSI,2005,1300,7,14
Suzuki,Cultus  Limited Edition,2017,1000,5,16.3
Peugeot,2008  Allure,2022,1200,5,61.74
Toyota,Corolla  Altis Grande CVT-i 1.8,2018,1800,5,41.75
Toyota,Hilux  Revo V Automatic 3.0 ,2017,3000,5,85
Toyota,Land Cruiser 100 Series Cygnus,2003,4700,7,90
Suzuki,Swift  DLX 1.3 Navigation ,2011,1300,5,17.25
Honda,Accord  CL9,2004,2400,5,21.75
Toyota,Hilux  Invincible,2013,3000,5,65
Daihatsu,Bego  CL,2007,1500,5,21.25
Toyota,Corolla Fielder  Hybrid G,2016,1500,5,44.9
Honda,City  i-DSI Vario,2003,1300,7,13.5
Suzuki,Liana  RXi,2006,1300,4,8
Honda,City  1.5L ASPIRE CVT,2021,1500,7,42.5
KIA,Picanto  1.0 AT,2021,1000,5,23.95
Honda,City  1.5L ASPIRE CVT,2022,1500,7,46.5
Honda,BR-V  i-VTEC S,2021,1500,7,46.5
KIA,Grand Carnival  GLS,2020,3500,11,80
Daihatsu,Cuore  CX Automatic,2006,800,5,7.8
Honda,BR-V  i-VTEC S,2017,1500,7,37
Toyota,Corolla  GLi 1.3 VVTi,2014,1300,5,26
KIA,Picanto  1.0 MT,2022,1000,5,27.25
Mitsubishi,Lancer  GLX Automatic 1.6,2006,1600,5,12.5
Toyota,Corolla Fielder  Hybrid,2015,1500,5,37
Toyota,Prius  S 1.8,2010,1800,5,28.95
Suzuki,Alto  VXR,2022,660,4,21.8
KIA,Sportage  FWD,2019,2000,5,55
Toyota,Corolla  Altis SR Cruisetronic 1.6,2013,1600,5,27.25
Suzuki,Alto  VXL AGS,2022,660,4,25.2
Toyota,Hilux  ,2017,3000,5,65
Honda,Civic  Oriel 1.8 i-VTEC CVT,2020,1800,5,49.5
Toyota,Harrier  ,2003,3000,5,33
Peugeot,2008  Allure,2022,1200,5,61.74
Toyota,C-HR  S,2019,1800,5,65
Honda,City  1.5L ASPIRE CVT,2022,1500,7,43
Suzuki,Wagon R  VXL,2021,1000,5,23.75
Toyota,Yaris  GLI CVT 1.3,2021,1300,5,31
Suzuki,Swift  GLX CVT,2022,1200,5,40
Toyota,Corolla  Altis Grande X CVT-i 1.8 Beige Interior,2022,1800,5,56.5
Toyota,Corolla  Altis X Automatic 1.6 Special Edition,2021,1600,5,50
Toyota,Prius  ,2010,1500,5,23.5
DFSK,Glory 580  Pro,2021,1500,7,50.5
Suzuki,Cultus  Limited Edition,2016,1000,5,15.5
Changan,Karvaan  Base Model 1.0,2020,1000,8,15.9
Suzuki,Wagon R  VXL,2021,1000,5,24
Honda,Vezel  Hybrid Z Sensing ,2016,1500,5,43
Honda,Civic  Oriel 1.8 i-VTEC CVT,2017,1800,5,37.9
Honda,Vezel  Hybrid X L Package,2014,1500,5,39.7
Honda,City  1.5L ASPIRE CVT,2022,1500,7,44.5
BMW,3 Series  318i,2017,1500,5,75
Suzuki,Alto  X,2020,660,4,33
Toyota,Corolla  SE Saloon Automatic,2002,1600,5,14.5
Suzuki,Alto  X,2016,660,4,22
Toyota,Vitz  F 1.0,2012,1000,5,21.4
Honda,Civic  Oriel 1.8 i-VTEC CVT,2019,1800,5,45.5
Toyota,Corolla  GLi Automatic 1.3 VVTi,2016,1300,5,26
Toyota,Corolla  Altis X Automatic 1.6 Special Edition,2021,1600,5,50.5
Honda,Civic  Oriel 1.8 i-VTEC CVT,2020,1800,5,49.5
Toyota,Aqua  S,2019,1500,5,42
BMW,X1  sDrive18i,2017,1500,5,59.5
Nissan,Clipper  E Special Pack,2018,660,4,17.5
Daihatsu,Hijet  Special,2017,660,4,17.25
Suzuki,Spacia  X,2018,660,4,17.25
Honda,City  ,2022,1200,5,38.25
Suzuki,Every  Join,2014,660,4,13.5
Toyota,Yaris  ATIV MT 1.3,2022,1300,5,38.5
Honda,Vezel  Hybrid Z,2014,1500,5,38.9
KIA,Sportage  AWD,2021,2000,5,63
Nissan,Tiida  15S,2007,1500,5,16
Honda,Civic  Oriel 1.8 i-VTEC CVT,2021,1800,5,54.5
Toyota,Rav4  G,2002,2000,5,22
MG,HS  ,2021,1500,5,61.75
Honda,Civic  Oriel 1.8 i-VTEC CVT,2019,1800,5,45.5
Suzuki,Mehran  VXR (CNG),2010,800,4,7
Honda,Civic  VTi 1.8 i-VTEC,2016,1800,5,28
Honda,Accord  24TL,2012,2400,5,32
Honda,Civic  Oriel 1.8 i-VTEC CVT,2021,1800,5,57.9
Suzuki,Wagon R  VXL,2019,1000,5,21.25
Toyota,Aqua  L,2014,1500,5,29
Changan,Alsvin  1.5L DCT Lumiere,2021,1500,5,34
Suzuki,Wagon R  VXR,2020,1000,5,21.5
Honda,Civic  Oriel 1.8 i-VTEC CVT,2018,1800,5,42.9
DFSK,Glory 580  Pro,2021,1500,7,52
Suzuki,Cultus  VXR (CNG),2004,1000,5,5
Honda,Civic  MXST (Hybrid),2006,1300,5,19.5
Toyota,Corolla  GLi 1.3 VVTi,2015,1300,5,25.75
Suzuki,Wagon R  VXL,2019,1000,5,21
Honda,Civic  Oriel 1.8 i-VTEC CVT,2022,1800,5,54.5
Honda,City 5th Generation 1.3 i-VTEC Prosmatec,2017,1300,5,27.5
Honda,Civic EG EX,1995,1500,5,8.7
Honda,BR-V  i-VTEC S,2018,1500,7,35.9
Toyota,Hilux  Vigo Champ GX,2016,2500,5,72.5
Suzuki,Wagon R  ,2014,660,5,17.8
Honda,Civic  1.5 RS Turbo,2021,1500,5,61
Toyota,Corolla  Altis X Automatic 1.6 Special Edition,2022,1600,5,53
Subaru,Pleo  F SPECIAL,2015,660,4,20.6
Suzuki,Margalla  GL Plus,1994,1300,5,5.3
Toyota,Corolla  Altis X Automatic 1.6,2021,1600,5,50
Toyota,Vitz  F 1.0,2014,1000,5,26
Honda,Civic  1.5 VTEC Turbo Oriel,2022,1500,5,69
Toyota,Vitz  F M Package 1.0,2018,1000,5,35
Suzuki,Mehran  VX (CNG),2007,800,4,6.65
Toyota,Corolla  Altis Grande X CVT-i 1.8 Beige Interior,2021,1800,5,55
Toyota,Corolla  Altis Grande X CVT-i 1.8 Beige Interior,2018,1800,5,42.75
Suzuki,Swift  GLX CVT,2022,1200,5,41.5
Honda,Civic Reborn VTi 1.8 i-VTEC,2007,1800,5,18.5
Suzuki,Wagon R  VXR,2021,1000,5,24.15
Daihatsu,Cuore  CX,2007,800,5,9.85
Honda,Civic  Oriel 1.8 i-VTEC CVT,2016,1800,5,40.5
Toyota,Corolla  Altis Grande CVT-i 1.8,2015,1800,5,34
Toyota,Aqua  S,2017,1500,5,36.75
Toyota,Corolla  Altis Grande CVT-i 1.8,2018,1800,5,48
Suzuki,Cultus  Euro II (CNG),2012,1000,5,12.8
Toyota,Crown  Royal Saloon G,2001,3000,5,35.5
Changan,Karvaan  Plus,2021,1000,8,22
Daihatsu,Move  X,2012,660,4,14.9
Suzuki,Wagon R  VXL,2015,1000,5,18.1
MG,HS  1.5 Turbo,2021,1500,5,60
Honda,Cross Road  1.8 L X PACKAGE,2010,1800,7,40
Suzuki,Alto  VX,2021,660,4,20.5
Proton,Saga  1.3L Ace A/T,2022,1300,5,27
MG,HS  1.5 Turbo,2021,1500,5,63
Suzuki,Khyber  GA,1996,1000,5,5.25
Changan,Karvaan  Plus,2022,1000,8,28.2
Honda,Civic  Oriel 1.8 i-VTEC CVT,2018,1800,5,42.5
Suzuki,Mehran  VX Euro II,2018,796,4,11.75
Honda,BR-V  i-VTEC S,2018,1500,7,37.8
Honda,Civic  1.5 RS Turbo,2021,1500,5,67
Toyota,Corolla  GLi 1.3 VVTi,2015,1300,5,28.6
Suzuki,Mehran  VXR Euro II,2018,796,4,12.35
Honda,City  i-DSI,2006,1300,7,16
Honda,BR-V  i-VTEC S,2018,1500,7,37.5
Toyota,Corolla  Altis Automatic 1.6,2018,1600,5,35
Honda,City 5th Generation Aspire Prosmatec 1.5 i-VTEC,2018,1500,5,28.25
Suzuki,Wagon R  VXL,2016,1000,5,16.9
Suzuki,Swift  GLX CVT,2022,1200,5,39.25
Toyota,Corolla  Altis Grande CVT-i 1.8,2017,1800,5,41
Honda,Civic  EXi,2002,1500,5,13.5
Toyota,Corolla  GLi 1.3 VVTi,2017,1300,5,30.25
Toyota,Passo  X,2015,1000,5,25
